央视频道,#genre#
甘肃卫视标清,http://123.113.180.104:9000/udp/239.3.1.49:8188
黑龙江卫视,http://123.113.180.104:9000/rtp/239.3.1.133:8016
吉林卫视,http://123.113.180.104:9000/rtp/239.3.1.240:8172
辽宁卫视,http://123.113.180.104:9000/rtp/239.3.1.210:8056
河北卫视,http://123.113.180.104:9000/rtp/239.3.1.148:8072
陕西卫视,http://123.113.180.104:9000/rtp/239.3.1.41:8140
厦门卫视标清,http://123.113.180.104:9000/rtp/239.3.1.143:4120
新疆卫视标清,http://27.188.109.138:9009/udp/239.254.200.89:8160
农林卫视标清,http://182.32.160.11:9997/udp/239.21.1.235:5002
三沙卫视标清,http://123.113.180.104:9000/rtp/239.3.1.155:4120
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?zjild
西藏卫视标清,http://123.113.180.104:9000/udp/239.3.1.47:8164
兵团卫视标清,http://123.113.180.104:9000/udp/239.3.1.144:4120
安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8?_upt=848d1a991707377572
数字付费,#genre#
CHC 动作电影,http://125.36.77.20:8888/udp/225.1.1.215:5002
CHC 高清电影,http://125.36.77.20:8888/udp/225.1.1.214:5002
CHC 家庭影院,http://125.36.77.20:8888/udp/225.1.1.213:5002
快乐垂钓,http://123.113.180.104:9000/rtp/239.3.1.164:8001
四海钓鱼,http://27.188.109.138:9009/udp/239.254.201.185:6363
都市剧场,http://125.36.77.20:8888/udp/225.1.1.146:5002
欢笑剧场4K,http://125.36.77.20:8888/udp/225.1.1.139:5002
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
华数热播剧场,http://123.113.180.104:9000/rtp/239.3.1.194:9020
华数经典电影,http://123.113.180.104:9000/rtp/239.3.1.195:9024
华数动作影院,http://123.113.180.104:9000/rtp/239.3.1.92:4120
华数古装剧场,http://123.113.180.104:9000/rtp/239.3.1.69:4120
华数都市剧场,http://123.113.180.104:9000/rtp/239.3.1.67:4120
华数家庭影院,http://123.113.180.104:9000/rtp/239.3.1.93:4120
华数精选,http://123.113.180.104:9000/rtp/239.3.1.74:4120
华数军旅剧场,http://123.113.180.104:9000/rtp/239.3.1.68:4120
华数武侠剧场,http://123.113.180.104:9000/rtp/239.3.1.90:4120
华数喜剧影院,http://123.113.180.104:9000/rtp/239.3.1.91:4120
华数魅力时尚,http://123.113.180.104:9000/rtp/239.3.1.196:9012
华数星影,http://123.113.180.104:9000/rtp/239.3.1.94:4120
华数光影,http://123.113.180.104:9000/udp/239.3.1.84:4120
百视全球大片,http://182.138.201.26:9991/udp/239.93.0.139:5140
百视热门剧场,http://182.138.201.26:9991/udp/239.93.0.140:5140
百视电竞,http://182.138.201.26:9991/udp/239.93.1.182:5140
百视电竞天堂,http://182.138.201.26:9991/udp/239.93.1.135:5140
百视谍战剧场,http://182.138.201.26:9991/udp/239.93.0.95:5140
百视华语影院,http://182.138.201.26:9991/udp/239.93.0.138:5140
百视戏曲精选,http://182.138.201.26:9991/udp/239.93.0.144:5140
百视热门综艺,http://182.138.201.26:9991/udp/239.93.0.151:5140
淘电影,http://123.113.180.104:9000/rtp/239.3.1.250:8001
淘精彩,http://123.113.180.104:9000/rtp/239.3.1.178:8001
淘剧场,http://123.113.180.104:9000/rtp/239.3.1.95:8001
淘娱乐,http://123.113.180.104:9000/rtp/239.3.1.100:8001
淘BABY,http://123.113.180.104:9000/rtp/239.3.1.238:8001
精彩电影,http://39.89.162.217:10000/udp/239.253.254.142:8000
晴彩广场舞,http://114.246.102.14:4000/rtp/239.3.1.128:8001
晴彩竞技,http://114.246.102.14:4000/rtp/239.3.1.125:8001
晴彩篮球,http://114.246.102.14:4000/rtp/239.3.1.126:8001
晴彩亲子趣学,http://114.246.102.14:4000/udp/239.93.1.191:5140
晴彩羽毛球,http://114.246.102.14:4000/rtp/239.3.1.127:8001
游戏风云,http://125.36.77.20:8888/udp/225.1.1.135:5002
文物宝库,http://125.36.77.20:8888/udp/225.1.2.105:5002
国学频道,http://114.246.102.14:4000/rtp/239.3.1.77:4120
鉴赏,http://123.113.180.104:9000/rtp/239.3.1.82:4120
国学,http://123.113.180.104:9000/rtp/239.3.1.77:4120
墨宝,http://123.113.180.104:9000/rtp/239.3.1.83:4120
书法,http://125.36.77.20:8888/udp/225.1.2.22:5002
早教,http://123.113.180.104:9000/rtp/239.3.1.79:4120
地理,http://123.113.180.104:9000/rtp/239.3.1.71:4120
解密,http://123.113.180.104:9000/rtp/239.3.1.75:4120
好学生,http://123.113.180.104:9000/rtp/239.3.1.81:4120
车迷频道,http://125.36.77.20:8888/udp/225.1.2.199:5002
汽摩,http://125.36.77.20:8888/udp/225.1.1.205:5002
武术世界,http://125.36.77.20:8888/udp/225.1.2.129:5002
武术,http://123.113.180.104:9000/rtp/239.3.1.87:4120
梨园频道,http://125.36.77.20:8888/udp/225.1.2.104:5002
戏曲,http://123.113.180.104:9000/rtp/239.3.1.78:4120
魅力足球,http://125.36.77.20:8888/udp/225.1.1.137:5002
先锋乒羽,http://125.36.77.20:8888/udp/225.1.1.219:5002
足球,http://123.113.180.104:9000/rtp/239.3.1.89:4120
音乐现场,http://123.113.180.104:9000/rtp/239.3.1.70:4120
茶频道,http://125.36.77.20:8888/udp/225.1.2.19:5002
纪实人文,http://123.113.180.104:9000/udp/239.3.1.212:8060
金鹰纪实,http://123.113.180.104:9000/udp/239.3.1.58:8156
金色学堂,http://125.36.77.20:8888/udp/225.1.1.236:5002
财富天下,http://123.113.180.104:9000/rtp/239.3.1.53:9136
生活时尚,http://125.36.77.20:8888/udp/225.1.1.143:5002
美妆,http://123.113.180.104:9000/rtp/239.3.1.72:4120
萌宠TV,http://123.113.180.104:9000/rtp/239.3.1.102:8001
中国交通,http://123.113.180.104:9000/rtp/239.3.1.188:8001
爱生活,http://123.113.180.104:9000/rtp/239.3.1.86:4120
法制天地,http://125.36.77.20:8888/udp/225.1.1.237:5002
环球旅游,http://125.36.77.20:8888/udp/225.1.2.200:5002
环球奇观,http://125.36.77.20:8888/udp/225.1.1.197:5002
聚鲨环球精选,http://125.36.77.20:8888/udp/225.1.1.102:5002
生态环境,http://125.36.77.20:8888/udp/225.1.2.201:5002
中国天气,http://125.36.77.20:8888/udp/225.1.2.119:5002
中华特产,http://125.36.77.20:8888/udp/225.1.2.197:5002
来钓鱼吧,http://118.112.148.151:4022/udp/239.93.42.8:5140
4K超清,http://114.246.102.14:4000/udp/239.3.1.249:8001
爱上4K,http://114.246.102.14:4000/rtp/239.3.1.236:2000
少儿频道,#genre#
动漫秀场,http://27.188.109.138:9009/udp/239.254.201.165:6358
华数少儿动画,http://123.113.180.104:9000/rtp/239.3.1.199:9000
嘉佳卡通,http://123.113.180.104:9000/rtp/239.3.1.147:9268
卡酷少儿,http://125.36.77.20:8888/udp/225.1.1.58:5002
金鹰卡通,http://125.36.77.20:8888/udp/225.1.2.236:5002
哈哈炫动,http://125.36.77.20:8888/udp/225.1.1.62:5002
新动漫,http://125.36.77.20:8888/udp/225.1.1.216:5002
优优宝贝,http://125.36.77.20:8888/udp/225.1.2.203:5002
地方频道,#genre#
山东齐鲁,http://39.88.44.216:3333/udp/239.253.254.114:8000
山东新闻,http://39.88.44.216:3333/udp/239.253.254.23:8000
山东生活,http://39.88.44.216:3333/udp/239.253.254.159:8000
山东综艺,http://39.88.44.216:3333/udp/239.253.254.159:8000
山东文旅,http://39.88.44.216:3333/udp/239.253.254.160:8000
山东农科,http://39.88.44.216:3333/udp/239.253.254.24:8000
山东少儿,http://39.88.44.216:3333/udp/239.253.254.25:8000
山东体育休闲,http://39.88.44.216:3333/udp/239.253.254.22:8000
山东教育卫视,http://39.88.44.216:3333/udp/239.253.254.59:8000
北京新闻,http://123.113.180.104:9000/rtp/239.3.1.159:8000
北京影视,http://114.243.109.122:4022/rtp/239.3.1.158:8000
北京文艺,http://123.113.180.104:9000/rtp/239.3.1.242:8000
北京财经,http://123.113.180.104:9000/rtp/239.3.1.116:8000
北京生活,http://123.113.180.104:9000/rtp/239.3.1.117:8000
北京纪实科教,http://123.113.180.104:9000/rtp/239.3.1.115:8000
北京体育休闲,http://123.113.180.104:9000/rtp/239.3.1.243:8000
北京国际频道,http://123.113.180.104:9000/rtp/239.3.1.235:8000
北京-朝阳融媒,http://123.113.180.104:9000/rtp/239.3.1.163:8001
北京-通州融媒,http://123.113.180.104:9000/rtp/239.3.1.221:8001
北京-房山电视台,http://123.113.180.104:9000/rtp/239.3.1.96:8001
密云MYTV,http://123.113.180.104:9000/rtp/239.3.1.154:8001
斗鱼电影,#genre#
斗鱼电影-星爷 经典 喜剧 科幻 动作,http://159.75.85.63:35455/douyu/508118
斗鱼电影-奶虫恐怖电影,http://159.75.85.63:35455/douyu/263824
斗鱼电影-星爷房,http://159.75.85.63:35455/douyu/122402
斗鱼电影-粤语房,http://159.75.85.63:35455/douyu/6566671
斗鱼电影-华语房,http://159.75.85.63:35455/douyu/85894
斗鱼电影-欧美房,http://159.75.85.63:35455/douyu/20415
斗鱼电影-【贝爷影厅】欧美 科幻 动作 灾难 经典,http://159.75.85.63:35455/douyu/252802
斗鱼电影-【贝爷MAX厅】60帧 科幻 动作 经典,http://159.75.85.63:35455/douyu/4332
斗鱼电影-【贝爷影厅】欧美 日韩 国产 2号厅,http://159.75.85.63:35455/douyu/36337
斗鱼电影-【凌儿】动作 科幻 喜剧 电影 剧,http://159.75.85.63:35455/douyu/1377142
斗鱼电影-【花卷陪看】豆瓣高评分电影,http://159.75.85.63:35455/douyu/52787
斗鱼电影-冰冰小剧场,http://159.75.85.63:35455/douyu/74374
斗鱼电影-小宇60帧,http://159.75.85.63:35455/douyu/323876
斗鱼电影-【小白影院】60帧 蓝光影院,http://159.75.85.63:35455/douyu/322360
斗鱼电影-【漫威】,http://159.75.85.63:35455/douyu/6140589
斗鱼电影-科幻大放映,http://159.75.85.63:35455/douyu/10183347
斗鱼电影-【小鬼点播】动作 喜剧 经典 华语,http://159.75.85.63:35455/douyu/3928
斗鱼电影-怡寶港台 科幻 动作 喜剧,http://159.75.85.63:35455/douyu/434971
斗鱼电影-成龙李连杰周星驰,http://159.75.85.63:35455/douyu/8107217
斗鱼电影-邵氏影院,http://159.75.85.63:35455/douyu/4246519
斗鱼电影-贝贝影院,http://159.75.85.63:35455/douyu/431460
斗鱼电影-特辑电影院,http://159.75.85.63:35455/douyu/3637778
斗鱼电影-刘德华,http://159.75.85.63:35455/douyu/2516864
斗鱼电影-喜剧电影专场,http://159.75.85.63:35455/douyu/9292492
斗鱼电影-小U 丧尸 鬼片 恐怖 惊悚 电影,http://159.75.85.63:35455/douyu/96577
斗鱼电影-变种人,http://159.75.85.63:35455/douyu/9651304
斗鱼电影-译制国语影片荟萃,http://159.75.85.63:35455/douyu/2436390
斗鱼电影-【女神金】60帧,http://159.75.85.63:35455/douyu/747764
斗鱼电影-【蓝翔】原画电影 华语经典 周星驰喜剧,http://159.75.85.63:35455/douyu/276200
斗鱼电影-60帧【周星驰】李连杰 林正英 成龙,http://159.75.85.63:35455/douyu/12143022
斗鱼电影-霍格沃茨,http://159.75.85.63:35455/douyu/8814650
斗鱼电影-【PDD影院】,http://159.75.85.63:35455/douyu/1274132
斗鱼电影-欧美大片,http://159.75.85.63:35455/douyu/2793084
斗鱼电影-吃米的虫,http://159.75.85.63:35455/douyu/315457
斗鱼电影-【瑶瑶】童年阴影 鬼片 恐怖 惊悚,http://159.75.85.63:35455/douyu/2935323
斗鱼电影-【倍速播放】快乐会加倍,http://159.75.85.63:35455/douyu/4105989
斗鱼电影-【粤语电影】,http://159.75.85.63:35455/douyu/1226741
斗鱼电影-[Hi欣影厅]精彩影片点播放映厅,http://159.75.85.63:35455/douyu/11996166
斗鱼电影-【成龙】,http://159.75.85.63:35455/douyu/3379942
斗鱼电影-【电影天堂】优秀电影展播,http://159.75.85.63:35455/douyu/3811092
斗鱼电影-发现放映室,http://159.75.85.63:35455/douyu/8791622
斗鱼电影-这里全是名场面,http://159.75.85.63:35455/douyu/9336286
斗鱼电影-【豆瓣高分】史上最佳影片大放送,http://159.75.85.63:35455/douyu/8770422
斗鱼电影-菜b惊怂院,http://159.75.85.63:35455/douyu/7882691
斗鱼电影-(小毅）林正英，僵尸，女鬼，护体,http://159.75.85.63:35455/douyu/6906628
斗鱼电影-【林正英】僵尸 女鬼 弹幕 护体,http://159.75.85.63:35455/douyu/218859
斗鱼电影-【恐怖】经典 恐怖 鬼怪 剧场,http://159.75.85.63:35455/douyu/1165374
斗鱼电影-【恐怖电影】 僵尸 丧尸 灾难片,http://159.75.85.63:35455/douyu/310926
斗鱼电影-一个只播恐怖片的直播间,http://159.75.85.63:35455/douyu/12068394
斗鱼电影-24H 林正英 女鬼 僵尸 护体,http://159.75.85.63:35455/douyu/8009547
斗鱼电影-国产青春 动作 喜剧轮播,http://159.75.85.63:35455/douyu/5423
斗鱼电影-【静静】经典电影 MV 周星驰 林正英,http://159.75.85.63:35455/douyu/5668371
斗鱼电影-蚂蚱影院,http://159.75.85.63:35455/douyu/6079455
斗鱼电影-邦德影院,http://159.75.85.63:35455/douyu/9292499
斗鱼电影-小栗子呀Liz,http://159.75.85.63:35455/douyu/7254536
斗鱼电影-大笑影院,http://159.75.85.63:35455/douyu/10329300
斗鱼电影-【屠龙】凛冬将至，夜王之争,http://159.75.85.63:35455/douyu/8945323
斗鱼电影-【纯经典】,http://159.75.85.63:35455/douyu/10760490
斗鱼电影-【恐怖电影】 林正英 僵尸 鬼片 经典,http://159.75.85.63:35455/douyu/9275635
斗鱼电影-【话事人】粤语【周星驰】【林正英】,http://159.75.85.63:35455/douyu/5033502
斗鱼电影-小贤 张益达 吕小布,http://159.75.85.63:35455/douyu/11915926
斗鱼电影-傲娇的超级赛亚人,http://159.75.85.63:35455/douyu/4373285
斗鱼电影-4K❤电影院❤ 喜剧悬疑文艺科幻灾难动作,http://159.75.85.63:35455/douyu/12192607
斗鱼电影-经典老电影，那种非常经典的,http://159.75.85.63:35455/douyu/10411518
斗鱼电影-梅子,http://159.75.85.63:35455/douyu/11645048
斗鱼电影-无聊的一起看看电影,http://159.75.85.63:35455/douyu/12039611
斗鱼电影-【HDR】最佳经典随机放映厅,http://159.75.85.63:35455/douyu/11137425
斗鱼电影-【麓山迷踪】邪 虐 异 染 绝,http://159.75.85.63:35455/douyu/4505431
斗鱼电影-【港片细品】,http://159.75.85.63:35455/douyu/9129814
斗鱼电影-UHD杜比视界4K,http://159.75.85.63:35455/douyu/9249162
斗鱼电影-【宇哥】总有你没看过的经典,http://159.75.85.63:35455/douyu/413573
斗鱼电影-蓝光原声 台剧经典 动作喜剧 悬疑烧脑,http://159.75.85.63:35455/douyu/8822283
斗鱼电影-电影 动作 科幻 悬疑 经典,http://159.75.85.63:35455/douyu/11923617
斗鱼电影-【TOP电影】24小时,http://159.75.85.63:35455/douyu/12039905
斗鱼电影-惊险1,http://hbjx.chinashadt.com:1935/live/stream:jx1.stream_360p/chunklist_w1092008512.m3u8
斗鱼连续剧,#genre#
斗鱼连续剧-盗墓,http://159.75.85.63:35455/douyu/5635000
斗鱼连续剧-我不是胡八一,http://159.75.85.63:35455/douyu/11279861
斗鱼连续剧-生活大爆炸,http://159.75.85.63:35455/douyu/6668627
斗鱼连续剧-4K❤影视剧❤武侠探案悬疑谍战动漫古装,http://159.75.85.63:35455/douyu/12191214

斗鱼连续剧-士兵突击,http://159.75.85.63:35455/douyu/10348728
斗鱼连续剧-闯关东,http://159.75.85.63:35455/douyu/8787737
斗鱼连续剧-射雕,http://159.75.85.63:35455/douyu/12170696
斗鱼连续剧-金庸,http://159.75.85.63:35455/douyu/9285904
斗鱼连续剧-金庸武侠、古装神剧,http://159.75.85.63:35455/douyu/338759
斗鱼连续剧-全网最清晰林正英僵尸道长,http://159.75.85.63:35455/douyu/7356023
斗鱼连续剧-【僵尸】,http://159.75.85.63:35455/douyu/3627728
斗鱼连续剧-【影视剧】总有一部你喜欢的经典影视,http://159.75.85.63:35455/douyu/11774356
斗鱼连续剧-隋唐,http://159.75.85.63:35455/douyu/7552568
斗鱼连续剧-【大秦】,http://159.75.85.63:35455/douyu/1584198
斗鱼连续剧-【隋唐】,http://159.75.85.63:35455/douyu/7552568
斗鱼连续剧-【纪晓岚】,http://159.75.85.63:35455/douyu/9071554
斗鱼连续剧-狄仁杰,http://159.75.85.63:35455/douyu/6027991
斗鱼连续剧-元芳到底看不看,http://159.75.85.63:35455/douyu/6027991
斗鱼连续剧-【康熙】张国立在线扫H除恶,http://159.75.85.63:35455/douyu/7550220
斗鱼连续剧-【雍正】人无伤虎意 虎有吃人心,http://159.75.85.63:35455/douyu/9650836
斗鱼连续剧-下饭神剧,http://159.75.85.63:35455/douyu/3700024
斗鱼连续剧-【默鱼】不要再进雷峰塔,http://159.75.85.63:35455/douyu/11922242
斗鱼连续剧-【胡椒粉的胡歌】,http://159.75.85.63:35455/douyu/5448413
斗鱼连续剧-风云,http://159.75.85.63:35455/douyu/9290755
斗鱼连续剧-经典商战剧,http://159.75.85.63:35455/douyu/12226784
斗鱼连续剧-和平饭店,http://159.75.85.63:35455/douyu/9650782
斗鱼连续剧-古董局中局,http://159.75.85.63:35455/douyu/9650783
斗鱼连续剧-【逃出监狱】兄弟情 是真的,http://159.75.85.63:35455/douyu/7575350
斗鱼连续剧-征服,http://159.75.85.63:35455/douyu/2726977
斗鱼连续剧-西游,http://159.75.85.63:35455/douyu/8953746
斗鱼连续剧-西游续集,http://159.75.85.63:35455/douyu/3113309
斗鱼连续剧-【怀旧】姜子牙 孙悟空打妖怪的故事,http://159.75.85.63:35455/douyu/6861249
斗鱼连续剧-【宋江】家,http://159.75.85.63:35455/douyu/3758762
斗鱼连续剧-三国,http://159.75.85.63:35455/douyu/10906963
斗鱼连续剧-美兮 三国,http://159.75.85.63:35455/douyu/2838296
斗鱼连续剧-【番号】入万军丛中 取上将头颅,http://159.75.85.63:35455/douyu/8157860
斗鱼连续剧-【超清1】经典港剧天地,http://159.75.85.63:35455/douyu/4290711
斗鱼连续剧-【超清2】热门港剧天地,http://159.75.85.63:35455/douyu/5522351
斗鱼连续剧-【超清3】人气港剧天地,http://159.75.85.63:35455/douyu/5261342
斗鱼连续剧-【悍匪】技术学院,http://159.75.85.63:35455/douyu/922564
斗鱼连续剧-【卓sir】我想当卧底！当座馆！,http://159.75.85.63:35455/douyu/9019945
斗鱼连续剧-橙記最人气港剧间,http://159.75.85.63:35455/douyu/4549169
斗鱼连续剧-一起看港剧,http://159.75.85.63:35455/douyu/5061550
斗鱼连续剧-武侠剧,http://159.75.85.63:35455/douyu/7655471
斗鱼连续剧-老王陪你看电视,http://159.75.85.63:35455/douyu/7476264
斗鱼连续剧-顺风为主 其他情喜影剧集锦为辅 随机连播,http://159.75.85.63:35455/douyu/6369954
斗鱼连续剧-【蓝翔】经典电视剧,http://159.75.85.63:35455/douyu/7459925
斗鱼连续剧-【蓝翔】弹幕天团、下饭神剧,http://159.75.85.63:35455/douyu/5908256
斗鱼连续剧-地下交通站,http://159.75.85.63:35455/douyu/299854
斗鱼连续剧-神 剧,http://159.75.85.63:35455/douyu/5875025
斗鱼连续剧-杀死燕双鹰 活捉狄仁杰！,http://159.75.85.63:35455/douyu/3439096
斗鱼连续剧-庆余年,http://159.75.85.63:35455/douyu/7489563
斗鱼连续剧-庆余年,http://159.75.85.63:35455/douyu/7812810
斗鱼连续剧-庆余年,http://159.75.85.63:35455/douyu/5062195
斗鱼连续剧-神乐的爱情公寓,http://159.75.85.63:35455/douyu/6566658
斗鱼连续剧-爱情公寓,http://159.75.85.63:35455/douyu/6863367
斗鱼连续剧-鯋鱼辰辰,http://159.75.85.63:35455/douyu/7623292
斗鱼连续剧-【德善】,http://159.75.85.63:35455/douyu/8600645
斗鱼连续剧-【樊胜美】天下无不散宴席 除了你自己,http://159.75.85.63:35455/douyu/3756989
斗鱼连续剧-刑侦,http://159.75.85.63:35455/douyu/138959
斗鱼连续剧-【火线】电视剧版厨戏痞,http://159.75.85.63:35455/douyu/9176009
斗鱼连续剧-【经典】影视,http://159.75.85.63:35455/douyu/6091425
斗鱼连续剧-【龙门】天山勾地火 宝塔镇蛇妖,http://159.75.85.63:35455/douyu/9650860
斗鱼连续剧-【米尼影院】经典电视剧,http://159.75.85.63:35455/douyu/7642724
斗鱼连续剧-【使徒】,http://159.75.85.63:35455/douyu/7810803
斗鱼连续剧-【小宇】经典永不过时,http://159.75.85.63:35455/douyu/54945
斗鱼连续剧-【严守一】,http://159.75.85.63:35455/douyu/8507023
斗鱼连续剧-i前尘忆梦,http://159.75.85.63:35455/douyu/7473576
斗鱼连续剧-好剧看不停,http://159.75.85.63:35455/douyu/9388938
斗鱼连续剧-和平方法,http://159.75.85.63:35455/douyu/9650792
斗鱼连续剧-欢声笑语迎龙年,http://159.75.85.63:35455/douyu/9548850
斗鱼连续剧-家有诤子 不败其家,http://159.75.85.63:35455/douyu/6911044
斗鱼连续剧-粤语剧,http://159.75.85.63:35455/douyu/10338873
斗鱼连续剧-钱债易还 情债难偿!,http://159.75.85.63:35455/douyu/8595134
斗鱼连续剧-热影连连看,http://159.75.85.63:35455/douyu/9388931
斗鱼连续剧-正常开播 欢迎欢迎,http://159.75.85.63:35455/douyu/319576
斗鱼连续剧-顺才:播一天是一天,http://159.75.85.63:35455/douyu/10084875
斗鱼连续剧-[怀旧剧场] 剧经典,http://159.75.85.63:35455/douyu/7119207
斗鱼动漫,#genre#
斗鱼动漫-名侦探柯南,http://159.75.85.63:35455/douyu/6484910
斗鱼动漫-【天使点播】动漫直播间,http://159.75.85.63:35455/douyu/1487654
斗鱼动漫-犬夜叉,http://159.75.85.63:35455/douyu/11906591
斗鱼动漫-草帽丶海贼团的直播间,http://159.75.85.63:35455/douyu/997925
斗鱼动漫-卡面来打?,http://159.75.85.63:35455/douyu/1218414
斗鱼动漫-动漫二次元,http://159.75.85.63:35455/douyu/9429545
斗鱼动漫-【动漫】超燃 怀旧 经典,http://159.75.85.63:35455/douyu/1174353
斗鱼动漫-【动漫合集】,http://159.75.85.63:35455/douyu/7620081
斗鱼动漫-成龙历险纪,http://159.75.85.63:35455/douyu/2287949
斗鱼动漫-【童年往事】仨房间画面同步显示点播,http://159.75.85.63:35455/douyu/7256376
斗鱼动漫-万年如一柯播南,http://159.75.85.63:35455/douyu/1783144
斗鱼动漫-小当家、小埋陪伴大家,http://159.75.85.63:35455/douyu/8231658
斗鱼动漫-机智帅气的一炫君,http://159.75.85.63:35455/douyu/426517
斗鱼动漫-【回首往事】仨房间画面同步显示,http://159.75.85.63:35455/douyu/1569773
斗鱼动漫-「轮播」动漫推荐,http://159.75.85.63:35455/douyu/5187099
